id,name
1,Eczema
2,Urticaria
3,Actinomycetomas
4,Abscess
5,Alzheimer's disease
6,Anthrax
7,Appendicitis
8,Allergy
9,Arthritis
10,Aseptic meningitis
11,Asthma
12,Astigmatism
13,Atherosclerosis
14,Bacterial meningitis
15,Beriberi
16,Black Death
17,Botulism
18,Breast cancer
19,Bronchitis
20,Brucellosis
21,Bubonic plague
22,Bunion
23,Boil
24,Campylobacter infection
25,Cancer
26,Candidiasis
27,Carbon monoxide poisoning
28,Coeliac disease
29,Cerebral palsy
30,Chagas disease
31,Chickenpox
32,Chlamydia
33,Chlamydia trachomatis
34,Cholera
35,Chordoma
36,Chorea
37,Chronic fatigue syndrome
38,Circadian rhythm sleep disorder
39,Colitis
40,Common cold
41,Condyloma
42,Congestive heart disease
43,Coronary heart disease
44,Cowpox
45,Crohn's Disease
46,Dengue Fever
47,Diabetes mellitus
48,Diphtheria
49,Dehydration
50,Dysentery
51,Ear infection
52,Ebola
53,Encephalitis
54,Emphysema
55,Epilepsy
56,Erectile dysfunction
57,Fibromyalgia
58,Foodborne illness
59,Gangrene
60,Gastroenteritis
61,Genital herpes
62,GERD
63,Goitre
64,Gonorrhea
65,Heart disease
66,Hepatitis A
67,Hepatitis B
68,Hepatitis C
69,Hepatitis D
70,Hepatitis E
71,Histiocytosis (childhood cancer)
72,HIV
73,Human papillomavirus
74,Huntington's disease
75,Hypermetropia
76,Hyperopia
77,Hyperthyroidism
78,Hypothyroid
79,Hypotonia
80,Impetigo
81,Infertility
82,Influenza
83,Interstitial cystitis
84,Iritis
85,Iron-deficiency anemia
86,Irritable bowel syndrome
87,Ignious Syndrome
88,Jaundice
89,Keloids
90,Kuru
91,Kwashiorkor
92,Kidney stone disease
93,Laryngitis
94,Lead poisoning
95,Legionellosis
96,Leishmaniasis
97,Leprosy
98,Leptospirosis
99,Listeriosis
100,Leukemia
101,Lice
102,Loiasis
103,Lung cancer
104,Lupus erythematosus
105,Lyme disease
106,Lymphogranuloma venereum
107,Lymphoma
108,Limbtoosa
109,Mad cow disease
110,Malaria
111,Marburg fever
112,Measles
113,Melanoma
114,Metastatic cancer
115,Meniere's disease
116,Meningitis
117,Migraine
118,Mononucleosis
119,Multiple myeloma
120,Multiple sclerosis
121,Mumps
122,Muscular dystrophy
123,Myasthenia gravis
124,Myelitis
125,Myoclonus
126,Myopia
127,Myxedema
128,Morquio Syndrome
129,Mattticular syndrome
131,Neoplasm
132,Non-gonococcal urethritis
133,Necrotizing Fasciitis
134,Night blindness
135,Obesity
136,Osteoarthritis
137,Osteoporosis
138,Otitis
139,Palindromic rheumatism
140,Paratyphoid fever
141,Parkinson's disease
142,Pelvic inflammatory disease
143,Peritonitis
144,Periodontal disease
145,Pertussis
146,Phenylketonuria
147,Plague
148,Poliomyelitis
149,Porphyria
150,Progeria
151,Prostatitis
152,Psittacosis
153,Psoriasis
154,Pubic lice
155,Pulmonary embolism
156,Pilia
157,pneumonia
158,Q fever
159,Ques fever
160,Rabies
161,Repetitive strain injury
162,Rheumatic fever
163,Rheumatic heart
164,Rheumatism
165,Rheumatoid arthritis
166,Rickets
167,Rift Valley fever
168,Rocky Mountain spotted fever
169,Rubella
170,Salmonellosis
171,Scabies
172,Scarlet fever
173,Sciatica
174,Scleroderma
175,Scrapie
176,Scurvy
177,Sepsis
178,Septicemia
179,SARS
180,Shigellosis
181,Shin splints
182,Shingles
183,Sickle-cell anemia
184,Siderosis
185,SIDS
186,Silicosis
187,Smallpox
188,Stevens–Johnson syndrome
189,Stomach flu
190,Stomach ulcers
191,Strabismus
192,Strep throat
193,Streptococcal infection
194,Synovitis
195,Syphilis
196,Swine influenza
197,Schizophrenia
198,Taeniasis
199,Tay-Sachs disease
200,Tennis elbow
201,Teratoma
202,Tetanus
203,Thalassaemia
204,Pluchea carolinensis (Jacq.) G. Don
205,Polemonium micranthum Benth.
206,Melicope ovalis (H. St. John) T.G. Hartley & B.C. Stone
207,Fissidens adianthoides Hedw.
208,Crataegus phaenopyrum (L. f.) Medik.
209,Pseudopanax K. Koch
210,Erigeron serpentinus G.L. Nesom
211,Synthyris pinnatifida S. Watson
212,Sphagnum fimbriatum Wilson var. concinnum (Berggr.) Warnst.
213,Arrhenatherum elatius (L.) P. Beauv. ex J. Presl & C. Presl
214,Chorizanthe membranacea Benth.
215,Flacourtia Comm. ex L'Hér.
216,Ludwigia hyssopifolia (G. Don) Exell apud A.R. Fernandes
217,Cyrtandra heinrichii H. St. John
218,Equisetum telmateia Ehrh.
219,Cheilanthes villosa Davenport ex Maxon
220,Cedrela P. Br.
221,Penstemon cyananthus Hook.
222,Pinzona Mart. & Zucc.
223,Asplenium ×flagrum W.H. Wagner & D.D. Palmer
224,Achnatherum parishii (Vasey) Barkworth var. parishii
225,Eleocharis minima Kunth
226,Eriogonum ammophilum Reveal
227,Sphaeralcea fendleri A. Gray
228,Jacquinia berteroi Spreng.
229,Carex ×crinitoides Lepage
230,Eupatorium rotundifolium L. var. ovatum (Bigelow) Torr.
231,Pyrrocoma carthamoides Hook. var. subsquarrosa (Greene) G. Brown & Keil
232,Oxalis rugeliana Urb.
233,Helianthemum canadense (L.) Michx.
234,Benitoa D.D. Keck
235,Achnatherum hendersonii (Vasey) Barkworth
236,Crataegus arborea Beadle
237,Amphicarpum purshii Kunth
238,Oxalis incarnata L.
239,Elymus sajanensis (Nevski) Tzvelev
240,Saccharum ravennae (L.) L.
241,Polygala glandulosa Kunth
242,Spergularia bocconii (Scheele) Foucaud ex Merino
243,Lupinus longifolius (S. Watson) Abrams
244,Pterocarpus macrocarpus Kurz
245,Baptisia albescens Small
246,Salvia reflexa Hornem.
247,Cistus salviifolius L.
248,Prunus alleghaniensis Porter var. davisii (W. Wight) Sarg.
249,Cyclospermum Lag.
250,Psora luridella (Tuck.) Fink
251,Stephanomeria exigua Nutt. ssp. carotifera (Hoover) Gottlieb
252,Ceanothus megacarpus Nutt.
253,Brya P. Br.
254,Cynanchum grisebachianum (Schltr.) Alain
255,Striga asiatica (L.) Kuntze
256,Balsamorhiza incana Nutt.
257,Polygonum segetum Kunth
258,Cynanchum laeve (Michx.) Pers.
259,Thaspium trifoliatum (L.) A. Gray
260,Passiflora ×colvillii Sweet
261,Mikania stevensiana Britton
262,Coccocarpia palmicola (Spreng.) Arv. & D.J. Galloway
263,Poa paludigena Fernald & Wiegand
264,Asplenium ×gravesii Maxon (pro sp.)
265,Eragrostis elliottii S. Watson
266,Duboisia leichhardtii (F. Muell.) F. Muell.
267,Cordia angustifolia (West ex Willd.) Roem. & Schult.
268,Hydnophytum Jack.
269,Chamaesyce albomarginata (Torr. & A. Gray) Small
270,Odontosoria chinensis (L.) J. Sm.
271,Rosa arvensis Huds.
272,Spiraea virginiana Britton
273,Hesperocyparis goveniana (Gordon) Bartel
274,Poa douglasii Nees
275,Plumbago scandens L.
276,Cenchrus brownii Roem. & Schult.
277,Eriogonum atrorubens Engelm.
278,Acarospora thelococcoides (Nyl.) Zahlbr.
279,Cynanchum monense (Britton) Alain
280,Astragalus brauntonii Parish
